,Country,Industry,Business Area,Legal Entity Name,Financial Year,Is Current Quarter?,Quarter,Planned Sales Revenue,Sales Revenue,Sales Revenue (Forecasted),Planned Service Revenue,Service Revenue,Service Revenue  (Forecasted),Planned Non Service Revenue,Non Service Revenue,Non Service Revenue (Forecasted),Planned Total Revenue,Total Revenue,Total Revenue (Forecasted),Planned COGS,COGS,COGS (Forecasted),Planned Administrative Expenses,Administrative Expenses,Administrative Expenses (Forecasted),Planned Third Party Expenses,Third Party Expenses,Third Party Expenses (Forecasted),Planned Other Expenses,Other Expenses,Other Expenses (Forecasted),Planned Total Expense,Total Expense,Total Expense (Forecasted),Planned Gross Margin,Gross Margin,Gross Margin (Forecasted),Planned Gross Margin %,Gross Margin %,Gross Margin % (Forecasted),Planned R&D Expenses,R&D Expenses,R&D Expenses (Forecasted),Planned Sales Cost,Sales Cost,Sales Cost (Forecasted),Planned Other Operating Expenses,Other Operating Expenses,Other Operating Expenses (Forecasted),Planned Operating Margin,Operating Margin,Operating Margin (Forecasted),Planned Operating Margin %,Operating Margin %,Operating Margin % (Forecasted),Planned Depreciation,Depreciation,Depreciation (Forecasted),Planned Interest,Interest,Interest (Forecasted),Planned Tax,Tax,Tax (Forecasted),Planned Net Margin,Net Margin,Net Margin (Forecasted),Planned Net Margin %,Net Margin %,Net Margin % (Forecasted),Planned Adjustment to Income,Adjustment to Income,Adjustment to Income (Forecasted),Planned Inventory,Inventory,Inventory (Forecasted),Planned Cash Flow from Operating Activities,Cash Flow from Operating Activities,Cash Flow from Operating Activities (Forecasted),Planned Capex,Capex,Capex - Forecasted,Planned Investments,Investments,Investments - Forecasted,Planned Cash Flow from Investment Activities,Cash Flow from Investment Activities,Cash Flow from Investment Activities (Forecasted),Dividends Paid,Sale/ Repurchase of Shares,Increase in Debt,Exchange Rate Gain/ Loss,Planned Cash Flow from Financial Activities,Cash Flow from Financial Activities,Cash Flow from Financial Activities Forecasted,Planned Net Cash Flow,Net Cash Flow,Net Cash Flow Forecasted,Planned Cash In Hand,Cash In Hand,Cash In Hand Forecasted,Planned Net Assets,Net Assets,Net Assets Forecasted,Planned Other Trade Debts,Other Trade Debts,Other Trade Debts Forecasted,Planned Net Liabiities,Net Liabiities,Net Liabiities Forecasted,Planned Net Working Capital,Net Working Capital,Net Working Capital Forecasted
57,Thailand,Chemical,Chemical,Thailand Chemical Ltd,FY2018,N,Q2,63690997,60200463,63690997,,,,28895781,25572434,28895781,92586778,85772897,92586778,26972754,23264479,26972754,17304900,22704910,17304900,7803994,9158088,7803994,1380810,1342590,1380810,53462458,56470067,53462458,39124320,29302830,39124320,42%,34%,42%,,,0,14645327,12055948,14645327,2027002,1737479,2027002,22451991,15509403,22451991,24%,18%,24%,1097711,2704318,1097711,7825497,6993712,7825497,4490398,3101881,4490398,11233807,8118128,11233807,12%,9%,12%,393290,273221,393290,7499231,9637131,7499231,31442223,28124073,31442223,-5712400,-9830374,-5712400,-1074877,-5300076,-1074877,-6787277,-15130450,-6787277,,,,,,,0,24654946,12993623,24654946,2509364,1381300,2509364,102595373,96791328,102595373,3740387,2983540,3740387,73875174,73247034,73875174,28720199,23544294,28720199
58,Thailand,Chemical,Chemical,Thailand Chemical Ltd,FY2018,N,Q3,60874632,60676338,60874632,,,,26748012,26841381,26748012,87622644,87517719,87622644,15670204,19113077,15670204,13079309,19575652,13079309,7369708,8723063,7369708,2505309,2698071,2505309,38624530,50109863,38624530,48998114,37407856,48998114,56%,43%,56%,,,0,14953317,13453733,14953317,2395627,2123281,2395627,31649170,21830842,31649170,36%,25%,36%,2916070,1372133,2916070,6717813,7062670,6717813,6329834,4366168,6329834,21517593,11774137,21517593,25%,13%,25%,240117,282066,240117,5131024,6515571,5131024,39936381,30000612,39936381,-1054507,-7793984,-1054507,-6258588,-6882030,-6258588,-7313095,-14676014,-7313095,,,,,,,0,32623286,15324598,32623286,3634957,2820978,3634957,96388625,96854268,96388625,2416189,2919037,2416189,58389663,68605914,58389663,37998962,28248354,37998962
59,Thailand,Chemical,Chemical,Thailand Chemical Ltd,FY2018,N,Q4,56053756,62707518,56053756,,,,29923216,27948514,29923216,85976972,90656032,85976972,25379441,18063244,25379441,15746612,16655361,15746612,5438757,6515889,5438757,1258512,2597614,1258512,47823322,43832108,47823322,38153650,46823924,38153650,44%,52%,44%,,,0,12884161,14405515,12884161,1839664,4387232,1839664,23429825,28031177,23429825,27%,31%,27%,2016950,1710182,2016950,7010559,6336593,7010559,4685965,5606235,4685965,13750251,17798531,13750251,16%,20%,16%,294052,144695,294052,5573713,7983193,5573713,31314540,37869247,31314540,-6622242,-7514285,-6622242,-9453126,-1913321,-9453126,-16075368,-9427606,-16075368,,,,,,,0,15239172,28441641,15239172,2251280,2045426,2251280,93801965,100684651,93801965,1688698,3415655,1688698,64235845,66040510,64235845,29566120,34644141,29566120
60,Thailand,Chemical,Chemical,Thailand Chemical Ltd,FY2019,N,Q1,57539153,58944147,57539153,,,,28790751,26351717,28790751,86329904,85295864,86329904,16137850,29872307,16137850,23741845,16360399,23741845,7783665,8446765,7783665,2604156,1659420,2604156,50267516,56338891,50267516,36062388,28956973,36062388,42%,34%,42%,,,0,10959081,11099799,10959081,3426463,4390807,3426463,21676844,13466367,21676844,25%,16%,25%,2436362,1733320,2436362,6507477,6400371,6507477,4335369,2693273,4335369,13270360,6106043,13270360,15%,7%,15%,317865,431188,317865,7064594,7133938,7064594,31495665,22764813,31495665,-3705757,-3435631,-3705757,-5470404,-4973835,-5470404,-9176161,-8409466,-9176161,,,,,,,0,22319504,14355347,22319504,3813695,3445675,3813695,97208193,95875477,97208193,2150350,3686453,2150350,66803410,75515950,66803410,30404783,20359527,30404783
61,Thailand,Chemical,Chemical,Thailand Chemical Ltd,FY2019,N,Q2,56952305,57820299,56952305,,,,25655319,25957630,25655319,82607624,83777929,82607624,25000312,26340238,25000312,11542376,14530425,11542376,5006092,5525515,5006092,1310129,2048855,1310129,42858909,48445033,42858909,39748715,35332896,39748715,48%,42%,48%,,,0,11746508,12027225,11746508,1781280,4992047,1781280,26220927,18313624,26220927,32%,22%,32%,2745474,1497854,2745474,6743551,6569302,6743551,5244185,3662725,5244185,16978665,9579451,16978665,21%,11%,21%,164584,469089,164584,8997695,6516959,8997695,38128680,26797526,38128680,-7986424,-7918553,-7986424,-2459783,-9513535,-2459783,-10446207,-17432088,-10446207,,,,,,,0,27682473,9365438,27682473,3861082,3239771,3861082,95466401,93534659,95466401,3688773,3443081,3688773,60075470,68907386,60075470,35390931,24627273,35390931
62,Thailand,Chemical,Chemical,Thailand Chemical Ltd,FY2019,Y,Q3,57876966,61369976,57876966,,,,27398721,26326657,27398721,85275687,87696633,85275687,25418104,27767393,25418104,17540531,11170621,17540531,8891195,7972694,8891195,2010376,2446566,2010376,53860206,49357274,53860206,31415481,38339359,31415481,37%,44%,37%,,,0,13848685,13409362,13848685,4539506,1920494,4539506,13027290,23009503,13027290,15%,26%,15%,2728951,1187985,2728951,7857636,7430711,7857636,2605458,4601901,2605458,5293147,12164876,5293147,6%,14%,6%,164191,95700,164191,5948466,6622570,5948466,21868898,30915758,21868898,-3976803,-5999817,-3976803,-8816446,-1527642,-8816446,-12793249,-7527459,-12793249,,,,,,,0,9075649,23388299,9075649,1838514,2413058,1838514,93062667,96732261,93062667,3317055,3503224,3317055,75565452,68190354,75565452,17497215,28541907,17497215
63,Thailand,Chemical,Chemical,Thailand Chemical Ltd,FY2019,N,Q4,63677708,,63677708,,,,27425583,,27425583,91103291,0,91103291,28030071,,28030071,22924948,,22924948,9665794,,9665794,1117552,,1117552,61738365,0,61738365,29364926,0,29364926,32%,,32%,,,0,11415696,,11415696,1584923,,1584923,16364307,0,16364307,18%,,18%,1865676,,1865676,7895177,,7895177,3272861,0,3272861,7061945,0,7061945,8%,,8%,298819,,298819,6871664,,6871664,25400466,0,25400466,-6656176,,-6656176,-4703119,,-4703119,-11359295,0,-11359295,,,,,,,0,14041171,0,14041171,4336169,,4336169,102311124,0,102311124,3447662,,3447662,78186646,0,78186646,24124478,0,24124478
64,Thailand,Textile,Textile,Thailand Textile Ltd,FY2018,N,Q1,36539856,42752861,36539856,,,,28856163,28640181,28856163,65396019,71393042,65396019,5499883,11563426,5499883,8698702,9794283,8698702,7187529,8371946,7187529,1204692,2730625,1204692,22590806,32460280,22590806,42805213,38932762,42805213,65%,55%,65%,,,0,12089770,14427438,12089770,1276467,1449675,1276467,29438976,23055649,29438976,45%,32%,45%,2243000,2351101,2243000,5650130,5287937,5650130,5887795,4611130,5887795,20144051,15507683,20144051,31%,22%,31%,313941,393809,313941,7826831,8261656,7826831,39822748,34062215,39822748,-5617933,-1156203,-5617933,-7295485,-1838590,-7295485,-12913418,-2994793,-12913418,,,,,,,0,26909330,31067422,26909330,4978878,3737934,4978878,78201728,83392632,78201728,2821206,3444219,2821206,38778249,51781612,38778249,39423479,31611020,39423479
65,Thailand,Textile,Textile,Thailand Textile Ltd,FY2018,N,Q2,37216879,45603390,37216879,,,,29593662,27681330,29593662,66810541,73284720,66810541,6361225,5457619,6361225,9924992,9055578,9924992,7035663,5959084,7035663,2682413,1509417,2682413,26004293,21981698,26004293,40806248,51303022,40806248,61%,70%,61%,,,0,14901255,13553126,14901255,3509635,3106838,3509635,22395358,34643058,22395358,34%,47%,34%,2235689,1973063,2235689,6283478,7662863,6283478,4479072,6928612,4479072,13868497,22024646,13868497,21%,30%,21%,93705,423194,93705,8688787,6665602,8688787,33413539,43704917,33413539,-1649754,-7270936,-1649754,-8677923,-5443155,-8677923,-10327677,-12714091,-10327677,,,,,,,0,23085862,30990826,23085862,1434134,4927328,1434134,76933462,84877650,76933462,2299790,1730137,2299790,46714973,40371799,46714973,30218489,44505851,30218489
66,Thailand,Textile,Textile,Thailand Textile Ltd,FY2018,N,Q3,42759688,41000734,42759688,,,,26234268,27034608,26234268,68993956,68035342,68993956,12909116,12513796,12909116,8299892,7622716,8299892,8962147,5186356,8962147,1746549,1438772,1746549,31917704,26761640,31917704,37076252,41273702,37076252,54%,61%,54%,,,0,14002143,14337974,14002143,1997452,3560422,1997452,21076657,23375306,21076657,31%,34%,31%,2378199,1349984,2378199,6036357,7049269,6036357,4215331,4675061,4215331,13203168,13000960,13203168,19%,19%,19%,331549,245138,331549,7120718,8122979,7120718,30907123,33093407,30907123,-6329055,-3505750,-6329055,-3993971,-3889134,-3993971,-10323026,-7394884,-10323026,,,,,,,0,20584097,25698523,20584097,4948395,4030016,4948395,81063069,80188337,81063069,2792144,3948118,2792144,50709443,48608154,50709443,30353626,31580183,30353626
67,Thailand,Textile,Textile,Thailand Textile Ltd,FY2018,N,Q4,45524028,41567367,45524028,,,,25684564,26317788,25684564,71208592,67885155,71208592,12831106,7475281,12831106,9442461,8717339,9442461,7655720,8865758,7655720,2966417,1178231,2966417,32895704,26236609,32895704,38312888,41648546,38312888,54%,61%,54%,,,0,10201608,14057005,10201608,1593904,4605838,1593904,26517376,22985703,26517376,37%,34%,37%,1893114,1128031,1893114,5712416,7655123,5712416,5303475,4597141,5303475,17394599,11861470,17394599,24%,17%,24%,444282,415776,444282,6757601,6429524,6757601,35612373,30959034,35612373,-3055906,-3917292,-3055906,-7668975,-7168945,-7668975,-10724881,-11086237,-10724881,,,,,,,0,24887492,19872797,24887492,2023807,1475333,2023807,79990000,75790012,79990000,2928587,3874151,2928587,47619803,48773603,47619803,32370197,27016409,32370197
68,Thailand,Textile,Textile,Thailand Textile Ltd,FY2019,N,Q1,36888492,46893434,36888492,,,,27371855,25335783,27371855,64260347,72229217,64260347,5564691,6543930,5564691,8093313,8252730,8093313,5200580,8539452,5200580,2216833,2227297,2216833,21075417,25563409,21075417,43184930,46665808,43184930,67%,65%,67%,,,0,10662876,14335005,10662876,2357847,4002916,2357847,30164207,28327887,30164207,47%,39%,47%,1092741,2679286,1092741,5594557,5655478,5594557,6032841,5665577,6032841,19629550,19686118,19629550,31%,27%,31%,58006,140125,58006,6416835,7637092,6416835,37731789,38784390,37731789,-9296505,-7348614,-9296505,-5441095,-6460732,-5441095,-14737600,-13809346,-14737600,,,,,,,0,22994189,24975044,22994189,2751350,4205967,2751350,73428532,84072276,73428532,2619367,2331989,2619367,36715507,46233319,36715507,36713025,37838957,36713025
69,Thailand,Textile,Textile,Thailand Textile Ltd,FY2019,N,Q2,49057109,44245544,49057109,,,,28355270,28072855,28355270,77412379,72318399,77412379,5583167,7114531,5583167,9670974,5407791,9670974,9748578,8316879,9748578,1573620,2023223,1573620,26576339,22862424,26576339,50836040,49455975,50836040,66%,68%,66%,,,0,10101637,14933221,10101637,4192489,2196827,4192489,36541914,32325927,36541914,47%,45%,47%,1565895,1804512,1565895,7418361,5233572,7418361,7308383,6465185,7308383,23381065,22431682,23381065,30%,31%,30%,114251,324358,114251,6475095,7167775,6475095,44697155,41622572,44697155,-6325806,-8118003,-6325806,-7599230,-9061350,-7599230,-13925036,-17179353,-13925036,,,,,,,0,30772119,24443219,30772119,3474609,2701410,3474609,87362083,82187584,87362083,2004697,2240442,2004697,42875162,42232914,42875162,44486921,39954670,44486921
70,Thailand,Textile,Textile,Thailand Textile Ltd,FY2019,Y,Q3,37259016,41347530,37259016,,,,25085962,27359679,25085962,62344978,68707209,62344978,8772455,14540449,8772455,9656942,5146721,9656942,5507018,8505025,5507018,1063425,2779273,1063425,24999840,30971468,24999840,37345138,37735741,37345138,60%,55%,60%,,,0,14409079,14570131,14409079,3250886,4983824,3250886,19685173,18181786,19685173,32%,26%,32%,1301139,1064242,1301139,6292701,7911004,6292701,3937035,3636357,3937035,10756576,7698667,10756576,17%,11%,17%,59446,96801,59446,8490399,8000680,8490399,29536157,27343509,29536157,-1976663,-9450145,-1976663,-6181745,-2082245,-6181745,-8158408,-11532390,-8158408,,,,,,,0,21377749,15811119,21377749,3516019,4388729,3516019,74351396,81096618,74351396,3745405,2210705,3745405,46405210,52736128,46405210,27946186,28360490,27946186
71,Thailand,Textile,Textile,Thailand Textile Ltd,FY2019,N,Q4,39260326,,39260326,,,,25083610,,25083610,64343936,0,64343936,13036321,,13036321,9549524,,9549524,8253824,,8253824,2263284,,2263284,33102953,0,33102953,31240983,0,31240983,49%,,49%,,,0,13143913,,13143913,1082060,,1082060,17015010,0,17015010,26%,,26%,1228516,,1228516,5707179,,5707179,3403002,0,3403002,9133345,0,9133345,14%,,14%,474955,,474955,8338798,,8338798,27057279,0,27057279,-7853311,,-7853311,-6455572,,-6455572,-14308883,0,-14308883,,,,,,,0,12748396,0,12748396,1211322,,1211322,73894056,0,73894056,1960763,,1960763,49289689,0,49289689,24604367,0,24604367
72,Thailand,Cement,Cement,Thailand Cement Ltd,FY2018,N,Q1,38875583,42656617,38875583,,,,25186720,26956408,25186720,64062303,69613025,64062303,5265121,9832154,5265121,8744643,6161589,8744643,8957385,8910977,8957385,2948552,2963289,2948552,25915701,27868009,25915701,38146602,41745016,38146602,60%,60%,60%,,,0,11265867,11169656,11265867,4006887,4152380,4006887,22873848,26422980,22873848,36%,38%,36%,2380672,2624147,2380672,6674448,5151206,6674448,4574770,5284596,4574770,14005302,18611325,14005302,22%,27%,22%,79504,196917,79504,8840713,5892304,8840713,34174737,35136348,34174737,-1118831,-1623228,-1118831,-3701530,-8937424,-3701530,-4820361,-10560652,-4820361,,,,,,,0,29354376,24575696,29354376,2826580,1020256,2826580,75729596,76525585,75729596,3792047,1961482,3792047,44980502,45151527,44980502,30749094,31374058,30749094
73,Thailand,Cement,Cement,Thailand Cement Ltd,FY2018,N,Q2,49486483,41964225,49486483,,,,25939552,28271728,25939552,75426035,70235953,75426035,13848539,11113786,13848539,6824700,7334443,6824700,7624766,5368663,7624766,1991740,2959068,1991740,30289745,26775960,30289745,45136290,43459993,45136290,60%,62%,60%,,,0,10310350,10118822,10310350,3581286,1352752,3581286,31244654,31988419,31244654,41%,46%,41%,2841774,2091234,2841774,7285445,6136208,7285445,6248931,6397684,6248931,20552052,21545761,20552052,27%,31%,27%,246190,201231,246190,6721532,9448576,6721532,41054150,43729460,41054150,-4503639,-3191494,-4503639,-2340628,-9261755,-2340628,-6844267,-12453249,-6844267,,,,,,,0,34209883,31276211,34209883,1972219,4206237,1972219,84119786,83890766,84119786,1791934,1693143,1791934,45973315,39940677,45973315,38146471,43950089,38146471
74,Thailand,Cement,Cement,Thailand Cement Ltd,FY2018,N,Q3,48573037,46820060,48573037,,,,25111639,27019186,25111639,73684676,73839246,73684676,5411451,9495063,5411451,5155124,8622743,5155124,8192635,6351612,8192635,1478225,2787816,1478225,20237435,27257234,20237435,53447241,46582012,53447241,73%,63%,73%,,,0,14974162,12035496,14974162,2575572,3860793,2575572,35897507,30685723,35897507,49%,42%,49%,1771004,1477450,1771004,7529556,6162716,7529556,7179501,6137145,7179501,22959454,19863312,22959454,31%,27%,31%,69792,251601,69792,6109412,8311434,6109412,43847715,40726208,43847715,-2513504,-9992130,-2513504,-1778821,-2783386,-1778821,-4292325,-12775516,-4292325,,,,,,,0,39555390,27950692,39555390,3146657,3342366,3146657,82940745,85493046,82940745,2333850,2976033,2333850,40121019,46129556,40121019,42819726,39363490,42819726
75,Thailand,Cement,Cement,Thailand Cement Ltd,FY2018,N,Q4,31327616,45056903,31327616,,,,29574165,28971209,29574165,60901781,74028112,60901781,8844909,10301505,8844909,5153497,6830521,5153497,8623771,6084547,8623771,2094509,1753227,2094509,24716686,24969800,24716686,36185095,49058312,36185095,59%,66%,59%,,,0,11361468,10592676,11361468,4332078,2178762,4332078,20491549,36286874,20491549,34%,49%,34%,1086426,2274775,1086426,7659707,5050898,7659707,4098310,7257375,4098310,9819958,26253376,9819958,16%,35%,16%,82122,468837,82122,5225517,6806362,5225517,26885614,45836848,26885614,-9369191,-2881285,-9369191,-4001250,-6366241,-4001250,-13370441,-9247526,-13370441,,,,,,,0,13515173,36589322,13515173,3148256,3853121,3148256,69275554,84687595,69275554,2017869,3304080,2017869,42428101,41045318,42428101,26847453,43642277,26847453
76,Thailand,Cement,Cement,Thailand Cement Ltd,FY2019,N,Q1,45118958,47695369,45118958,,,,25120429,26510406,25120429,70239387,74205775,70239387,14901602,6174938,14901602,6357387,7344442,6357387,7145188,6870102,7145188,2992284,2404298,2992284,31396461,22793780,31396461,38842926,51411995,38842926,55%,69%,55%,,,0,13424583,10933764,13424583,4575237,3883628,4575237,20843106,36594603,20843106,30%,49%,30%,2841216,2013420,2841216,5399885,5211486,5399885,4168621,7318921,4168621,14115816,26077616,14115816,20%,35%,20%,447895,54224,447895,9197466,5678614,9197466,33329683,44340861,33329683,-2095116,-3964793,-2095116,-9060885,-3914647,-9060885,-11156001,-7879440,-11156001,,,,,,,0,22173682,36461421,22173682,3161712,2011079,3161712,82598565,81895468,82598565,2223745,2143124,2223745,51620026,39754296,51620026,30978539,42141172,30978539
77,Thailand,Cement,Cement,Thailand Cement Ltd,FY2019,N,Q2,32806607,42678993,32806607,,,,26534006,25387186,26534006,59340613,68066179,59340613,14721786,6942716,14721786,6126298,8224435,6126298,7499816,7816146,7499816,2654017,1551012,2654017,31001917,24534309,31001917,28338696,43531870,28338696,48%,64%,48%,,,0,14294240,11308223,14294240,1612242,3832816,1612242,12432214,28390831,12432214,21%,42%,21%,2028818,1752030,2028818,5553625,6330982,5553625,2486443,5678166,2486443,6420964,18133713,6420964,11%,27%,11%,249883,328172,249883,7027376,6219539,7027376,21738291,36690572,21738291,-6937046,-5208750,-6937046,-8710858,-3045446,-8710858,-15647904,-8254196,-15647904,,,,,,,0,6090387,28436376,6090387,3397254,3011760,3397254,69765243,77297478,69765243,2282416,3780722,2282416,49190815,43456070,49190815,20574428,33841408,20574428
78,Thailand,Cement,Cement,Thailand Cement Ltd,FY2019,Y,Q3,31468105,41341823,31468105,,,,25556078,28409868,25556078,57024183,69751691,57024183,9917633,11622223,9917633,8069749,7385998,8069749,9659318,6429314,9659318,2877728,1228564,2877728,30524428,26666099,30524428,26499755,43085592,26499755,46%,62%,46%,,,0,10848027,10439374,10848027,1878962,1050690,1878962,13772766,31595528,13772766,24%,45%,24%,1571855,1584166,1571855,5447443,6663611,5447443,2754553,6319106,2754553,7142625,20196977,7142625,13%,29%,13%,419545,417297,419545,7529750,5749197,7529750,23293916,39346188,23293916,-5508173,-6701927,-5508173,-7623749,-1137342,-7623749,-13131922,-7839269,-13131922,,,,,,,0,10161994,31506919,10161994,2843621,3825548,2843621,67397554,79326436,67397554,2689771,2002024,2689771,45941188,40158187,45941188,21456366,39168249,21456366
79,Thailand,Cement,Cement,Thailand Cement Ltd,FY2019,N,Q4,45119102,,45119102,,,,26436585,,26436585,71555687,0,71555687,11166063,,11166063,9395163,,9395163,6877485,,6877485,2730187,,2730187,30168898,0,30168898,41386789,0,41386789,58%,,58%,,,0,13377088,,13377088,4052977,,4052977,23956724,0,23956724,33%,,33%,2996175,,2996175,5431001,,5431001,4791345,0,4791345,16730553,0,16730553,23%,,23%,275168,,275168,6505296,,6505296,33733363,0,33733363,-4070157,,-4070157,-9739308,,-9739308,-13809465,0,-13809465,,,,,,,0,19923898,0,19923898,3380100,,3380100,81441083,0,81441083,2176174,,2176174,49775137,0,49775137,31665946,0,31665946
80,India,Textile,Textile,India Textile Ltd,FY2018,N,Q1,51467922,35263756,51467922,,,,26425420,25882567,26425420,77893342,61146323,77893342,12740640,6379748,12740640,7524352,9489815,7524352,7892280,6558515,7892280,1600187,1153958,1600187,29757459,23582036,29757459,48135883,37564287,48135883,62%,61%,62%,,,0,12627375,12752891,12627375,4997116,3360614,4997116,30511392,21450782,30511392,39%,35%,39%,2732913,2782742,2732913,7227487,5040392,7227487,6102278,4290156,6102278,19914540,14902976,19914540,26%,24%,26%,263671,472531,263671,9426406,5280548,9426406,42934382,29986603,42934382,-8895144,-1820405,-8895144,-6841142,-8859956,-6841142,-15736286,-10680361,-15736286,,,,,,,0,27198096,19306242,27198096,2945060,3917292,2945060,90264808,70344163,90264808,1975379,3830876,1975379,49357329,43526417,49357329,40907479,26817746,40907479
81,India,Textile,Textile,India Textile Ltd,FY2018,N,Q2,43736591,32831266,43736591,,,,28277072,26756514,28277072,72013663,59587780,72013663,9449714,9490625,9449714,7445844,7110374,7445844,7097429,9440790,7097429,1870727,1023514,1870727,25863714,27065303,25863714,46149949,32522477,46149949,64%,55%,64%,,,0,10759421,13332164,10759421,1160324,1266696,1160324,34230204,17923617,34230204,48%,30%,48%,1833858,1720184,1833858,5479309,7875546,5479309,6846041,3584723,6846041,23738712,8183532,23738712,33%,14%,33%,301101,499656,301101,5196107,5165957,5196107,41561270,25309414,41561270,-3117019,-3025706,-3117019,-6410373,-8796109,-6410373,-9527392,-11821815,-9527392,,,,,,,0,32033878,13487599,32033878,1442037,4991009,1442037,78651807,69744746,78651807,3528368,1938402,3528368,41311827,43602565,41311827,37339980,26142181,37339980
82,India,Textile,Textile,India Textile Ltd,FY2018,N,Q3,32438391,39714338,32438391,,,,29542725,26946206,29542725,61981116,66660544,61981116,14276763,13446124,14276763,5901041,9148945,5901041,6741889,6380146,6741889,1298703,1361361,1298703,28218396,30336576,28218396,33762720,36323968,33762720,54%,54%,54%,,,0,13611486,11085253,13611486,4523383,2084782,4523383,15627851,23153933,15627851,25%,35%,25%,2834302,1600517,2834302,5691183,7677384,5691183,3125570,4630787,3125570,9645400,12446279,9645400,16%,19%,16%,316616,497065,316616,8417407,8371541,8417407,27196176,33623056,27196176,-1530808,-2693888,-1530808,-8279281,-5838885,-8279281,-9810089,-8532773,-9810089,,,,,,,0,17386087,25090283,17386087,2897190,1142328,2897190,73295713,76174413,73295713,3014000,1661776,3014000,49367265,45168387,49367265,23928448,31006026,23928448
83,India,Textile,Textile,India Textile Ltd,FY2018,N,Q4,54830672,44334454,54830672,,,,26084162,27745448,26084162,80914834,72079902,80914834,13051113,11283474,13051113,8284221,6581319,8284221,8088553,7082807,8088553,1877102,1842609,1877102,31300989,26790209,31300989,49613845,45289693,49613845,61%,63%,61%,,,0,10564966,12399239,10564966,2681348,4909151,2681348,36367531,27981303,36367531,45%,39%,45%,2998661,2323509,2998661,5189207,6936263,5189207,7273506,5596261,7273506,26903479,17772288,26903479,33%,25%,33%,389825,489068,389825,7013441,8108876,7013441,46769458,38902756,46769458,-7687425,-8173956,-7687425,-3291226,-4949462,-3291226,-10978651,-13123418,-10978651,,,,,,,0,35790807,25779338,35790807,1316411,1369021,1316411,89244686,81557799,89244686,3885248,2707079,3885248,48432551,46805678,48432551,40812135,34752121,40812135
84,India,Textile,Textile,India Textile Ltd,FY2019,N,Q1,46570728,38838981,46570728,,,,29855345,29683748,29855345,76426073,68522729,76426073,7003813,12210141,7003813,9052592,6201733,9052592,6343794,6352666,6343794,2915312,2688611,2915312,25315511,27453151,25315511,51110562,41069578,51110562,67%,60%,67%,,,0,12033265,11449227,12033265,4893506,2905306,4893506,34183791,26715045,34183791,45%,39%,45%,1314964,1268245,1314964,5401284,7796534,5401284,6836758,5343009,6836758,23260713,14843747,23260713,30%,22%,30%,73429,110268,73429,9486319,8609636,9486319,45058503,36703194,45058503,-4834468,-7969270,-4834468,-7583736,-4263803,-7583736,-12418204,-12233073,-12418204,,,,,,,0,32640299,24470121,32640299,1322192,1157541,1322192,87234584,78289906,87234584,3561255,2983934,3561255,45803537,44791618,45803537,41431047,33498288,41431047
85,India,Textile,Textile,India Textile Ltd,FY2019,N,Q2,53284250,35415536,53284250,,,,25662052,26676413,25662052,78946302,62091949,78946302,14014127,13236734,14014127,6939007,8481341,6939007,8541574,7823761,8541574,1578674,1325210,1578674,31073382,30867046,31073382,47872920,31224903,47872920,61%,50%,61%,,,0,13658320,13064719,13658320,2593189,2296281,2593189,31621411,15863903,31621411,40%,26%,40%,1763097,2878182,1763097,5962164,6075242,5962164,6324282,3172781,6324282,21098062,9494062,21098062,27%,15%,27%,107923,452756,107923,7640785,8741412,7640785,41133216,27936253,41133216,-5076515,-8037958,-5076515,-4190442,-4294312,-4190442,-9266957,-12332270,-9266957,,,,,,,0,31866259,15603983,31866259,1822503,2223368,1822503,88409590,73056729,88409590,3439781,2511068,3439781,50764672,48739114,50764672,37644918,24317615,37644918
86,India,Textile,Textile,India Textile Ltd,FY2019,Y,Q3,32574334,43453174,32574334,,,,28201759,25638727,28201759,60776093,69091901,60776093,11046809,6203225,11046809,6110845,5154745,6110845,5778105,7511830,5778105,1593002,2768603,1593002,24528761,21638403,24528761,36247332,47453498,36247332,60%,69%,60%,,,0,10163818,13829365,10163818,2616665,4194383,2616665,23466849,29429750,23466849,39%,43%,39%,1193951,1551184,1193951,6548516,6115638,6548516,4693370,5885950,4693370,13418914,18979346,13418914,22%,27%,22%,219754,195327,219754,6631091,6265466,6631091,31511645,37441727,31511645,-8062047,-4571277,-8062047,-4744551,-3812554,-4744551,-12806598,-8383831,-12806598,,,,,,,0,18705047,29057896,18705047,4680186,3534754,4680186,72087370,78892121,72087370,2133537,3826123,2133537,39442781,43488274,39442781,32644589,35403847,32644589
87,India,Textile,Textile,India Textile Ltd,FY2019,N,Q4,50895707,,50895707,,,,28747544,,28747544,79643251,0,79643251,6909351,,6909351,9036579,,9036579,7600006,,7600006,2178810,,2178810,25724746,0,25724746,53918505,0,53918505,68%,,68%,,,0,10822904,,10822904,3346821,,3346821,39748780,0,39748780,50%,,50%,2675286,,2675286,6732545,,6732545,7949756,0,7949756,27741765,0,27741765,35%,,35%,479839,,479839,5323064,,5323064,48226969,0,48226969,-5866997,,-5866997,-8013050,,-8013050,-13880047,0,-13880047,,,,,,,0,34346922,0,34346922,2331316,,2331316,87297631,0,87297631,2610576,,2610576,42505047,0,42505047,44792584,0,44792584
